ProductionDate,Product,BatchNumber,UnitsProduced,Shift,Supervisor,ProductCode,ManufacturingSite,ProductionLine,UnitsRejected,YieldPercentage,StartTime,EndTime,RunTimeHours,MachineID,OperatorName,QCStatus,TemperatureCelsius,HumidityPercent,RawMaterialsUsed,PackagingType,Remarks,MaintenanceRequired,DeviationFlag,ApprovedBy,Production_Efficiency (%),Batch_Status,Machine_Downtime_Minutes,Energy_Consumed_kWh,Shift_Duration_Hours,Temperature_Fahrenheit,Quality_Score,Waste_Percentage,Resource_Utilization (%),Compliance_Check,Reason_For_Machine_Downtime,Downtime_Category,Preventive_Maintenance_Status,Operator_Experience_Level,Rework_Units,Audit_Findings,Downtime_Category,Repair_Time_Minutes
02-11-2024,Ibuprofen,BATCH0001,3850,Morning,John Doe,IBU-002,Plant A,Line 3,235,93.9,02-11-2024 07:00,02-11-2024 10:00,3,MC-003,Alice,Pending,22.6,40.3,7,Strip,,Yes,Yes,Dr. Singh,93.8961039,Pending,38,188.28,12,72.68,72,6.103896104,68.36,Fail,Electrical Fault,Unscheduled,No,Junior,63,Major Deviation,Electrical,116
03-11-2024,Ciprofloxacin,BATCH0002,4735,Evening,Emily Davis,CPF-004,Plant A,Line 1,67,98.59,03-11-2024 13:00,03-11-2024 16:00,3,MC-002,Charlie,Pending,24.4,54.5,9,Strip,,No,No,Dr. Singh,98.58500528,Pending,51,63.27,10,75.92,85,1.41499472,86.85,Fail,Operator Error,Unscheduled,No,Mid,119,Compliant,Mechanical,14
03-11-2024,Amoxicillin,BATCH0003,3419,Night,Jane Smith,AMX-003,Plant A,Line 2,136,96.02,03-11-2024 14:00,03-11-2024 16:00,2,MC-001,Charlie,Pending,20.8,51,7,Blister Pack,,No,Yes,Dr. Kapoor,96.02222872,Pending,28,79.4,12,69.44,99,3.977771278,74.35,Pass,Material Shortage,Unscheduled,No,Junior,74,Major Deviation,Human Error,13
06-11-2024,Amoxicillin,BATCH0004,2894,Night,Robert Lee,AMX-003,Plant A,Line 1,263,90.91,06-11-2024 07:00,06-11-2024 10:00,3,MC-001,Diana,Pending,20.4,40.8,3,Strip,,No,No,Dr. Singh,90.9122322,Pending,14,56.78,10,68.72,94,9.087767795,70.17,Fail,Material Shortage,Unscheduled,Yes,Mid,65,Major Deviation,Human Error,107
06-11-2024,Metformin,BATCH0005,2772,Morning,Robert Lee,MTF-005,Plant B,Line 3,76,97.26,06-11-2024 12:00,06-11-2024 16:00,4,MC-004,Diana,Pass,24.7,51.6,7,Blister Pack,,Yes,Yes,Dr. Kapoor,97.25829726,Approved,42,98.8,10,76.46,72,2.741702742,71.81,Pass,Scheduled Maintenance,Scheduled,Yes,Senior,177,Compliant,Electrical,114
08-11-2024,Amoxicillin,BATCH0006,3320,Night,Jane Smith,AMX-003,Plant B,Line 1,29,99.13,08-11-2024 14:00,08-11-2024 17:00,3,MC-001,Charlie,Pass,20.8,52.6,8,Strip,,Yes,Yes,Dr. Allen,99.12650602,Approved,7,108.3,12,69.44,94,0.873493976,72.9,Pass,Mechanical Failure,Unscheduled,Yes,Mid,164,Major Deviation,Electrical,15
11-11-2024,Amoxicillin,BATCH0007,1676,Night,Emily Davis,AMX-003,Plant B,Line 1,102,93.91,11-11-2024 06:00,11-11-2024 09:00,3,MC-001,Alice,Pending,22.8,58.3,7,Blister Pack,,Yes,Yes,Dr. Kapoor,93.91408115,Pending,60,90.7,10,73.04,98,6.085918854,93.95,Pass,Scheduled Maintenance,Scheduled,Yes,Mid,152,Not Audited,Mechanical,22
12-11-2024,Ibuprofen,BATCH0008,3954,Night,John Doe,IBU-002,Plant A,Line 3,163,95.88,12-11-2024 08:00,12-11-2024 14:00,6,MC-003,Alice,Pass,23.8,44.9,4,Blister Pack,,No,Yes,Dr. Singh,95.87759231,Approved,20,174.31,8,74.84,87,4.122407688,65.46,Pass,Electrical Fault,Unscheduled,No,Junior,137,Minor Deviation,Mechanical,77
16-11-2024,Amoxicillin,BATCH0009,2960,Morning,John Doe,AMX-003,Plant B,Line 3,226,92.36,16-11-2024 06:00,16-11-2024 08:00,2,MC-001,Diana,Pass,22.5,49.5,8,Strip,,Yes,Yes,Dr. Allen,92.36486486,Approved,38,103.51,10,72.5,83,7.635135135,88.36,Pass,Material Shortage,Unscheduled,Yes,Senior,36,Not Audited,Material,96
16-11-2024,Metformin,BATCH0010,3106,Evening,Robert Lee,MTF-005,Plant A,Line 3,84,97.3,16-11-2024 12:00,16-11-2024 15:00,3,MC-004,Alice,Fail,20.8,59.6,5,Blister Pack,,Yes,No,Dr. Singh,97.29555699,Pending,57,92.14,9,69.44,87,2.704443014,82.11,Pass,Operator Error,Unscheduled,No,Senior,70,Major Deviation,Electrical,108
20-11-2024,Amoxicillin,BATCH0011,4227,Morning,John Doe,AMX-003,Plant A,Line 1,233,94.49,20-11-2024 13:00,20-11-2024 18:00,5,MC-001,Bob,Pass,21.7,47.2,8,Strip,,Yes,Yes,Dr. Allen,94.48781642,Approved,18,131.4,12,71.06,71,5.512183582,71.86,Fail,Mechanical Failure,Unscheduled,No,Junior,93,Not Audited,Mechanical,34
21-11-2024,Metformin,BATCH0012,1268,Morning,Emily Davis,MTF-005,Plant A,Line 2,56,95.58,21-11-2024 14:00,21-11-2024 17:00,3,MC-004,Charlie,Pending,24.5,54.3,7,Bottle,,No,No,Dr. Allen,95.58359621,Pending,22,71.14,8,76.1,91,4.416403785,76.79,Pass,Scheduled Maintenance,Scheduled,No,Mid,58,Major Deviation,Human Error,31
22-11-2024,Ciprofloxacin,BATCH0013,1555,Evening,Robert Lee,CPF-004,Plant A,Line 1,129,91.7,22-11-2024 14:00,22-11-2024 17:00,3,MC-002,Diana,Pass,22.2,55.8,8,Bottle,,Yes,No,Dr. Singh,91.70418006,Approved,10,170.33,12,71.96,72,8.295819936,70.25,Pass,Material Shortage,Unscheduled,No,Senior,85,Not Audited,Material,96
22-11-2024,Amoxicillin,BATCH0014,1730,Morning,Robert Lee,AMX-003,Plant B,Line 2,76,95.61,22-11-2024 12:00,22-11-2024 17:00,5,MC-001,Bob,Pass,22.4,50,3,Blister Pack,,No,Yes,Dr. Singh,95.60693642,Approved,10,61.18,9,72.32,85,4.393063584,84.46,Pass,Scheduled Maintenance,Scheduled,No,Mid,90,Not Audited,Operational,89
22-11-2024,Amoxicillin,BATCH0015,3603,Morning,Jane Smith,AMX-003,Plant A,Line 2,166,95.39,22-11-2024 12:00,22-11-2024 14:00,2,MC-001,Diana,Pending,20.4,59.9,9,Strip,,Yes,No,Dr. Singh,95.39272828,Pending,23,198.03,9,68.72,98,4.607271718,63.26,Fail,Electrical Fault,Unscheduled,Yes,Mid,73,Major Deviation,Operational,41
24-11-2024,Amoxicillin,BATCH0016,2240,Night,John Doe,AMX-003,Plant A,Line 1,191,91.47,24-11-2024 06:00,24-11-2024 11:00,5,MC-001,Alice,Pending,20.9,48.7,7,Bottle,,No,No,Dr. Zhang,91.47321429,Pending,52,165.84,9,69.62,78,8.526785714,60.21,Fail,Mechanical Failure,Unscheduled,No,Senior,49,Minor Deviation,Material,37
26-11-2024,Ciprofloxacin,BATCH0017,1457,Night,Emily Davis,CPF-004,Plant A,Line 3,196,86.55,26-11-2024 06:00,26-11-2024 08:00,2,MC-002,Charlie,Fail,23.3,52,5,Bottle,,Yes,Yes,Dr. Singh,86.54770075,Pending,35,79.81,10,73.94,73,13.45229925,85.12,Pass,Material Shortage,Unscheduled,No,Senior,46,Compliant,Operational,93
01-12-2024,Ibuprofen,BATCH0018,3836,Morning,Jane Smith,IBU-002,Plant A,Line 3,110,97.13,01-12-2024 07:00,01-12-2024 13:00,6,MC-003,Alice,Pass,21.3,57.7,3,Strip,,Yes,No,Dr. Zhang,97.13242961,Approved,39,50.83,10,70.34,70,2.867570386,67.77,Fail,Material Shortage,Unscheduled,Yes,Mid,146,Compliant,Electrical,25
02-12-2024,Metformin,BATCH0019,2360,Evening,Robert Lee,MTF-005,Plant B,Line 1,257,89.11,02-12-2024 14:00,02-12-2024 17:00,3,MC-004,Bob,Fail,20.3,51.3,4,Bottle,,No,No,Dr. Kapoor,89.11016949,Pending,23,172.32,12,68.54,73,10.88983051,62.84,Pass,Electrical Fault,Unscheduled,Yes,Senior,124,Major Deviation,Human Error,34
